full_name;age;league;season;position;Current Club;minutes_played_overall;nationality;appearances_overall;goals_overall;assists_overall;penalty_goals;penalty_misses;clean_sheets_overall;conceded_overall;yellow_cards_overall;red_cards_overall;goals_involved_per_90_overall;assists_per_90_overall;goals_per_90_overall;min_per_goal_overall;conceded_per_90_overall;min_per_conceded_overall;min_per_match;min_per_card_overall;min_per_assist_overall;cards_per_90_overall
Aarón Escandell Banacloche;26;La Liga;2021/2022;Goalkeeper;Granada CF;283;Spain;4;0;0;0;0;1;5;2;1;0;0;0;0;1,59;57;71;94;0;0,95
Abdón Prats Bastidas;29;La Liga;2021/2022;Forward;RCD Mallorca;631;Spain;23;3;0;0;0;5;10;4;0;0,43;0;0,43;210;1,43;63;27;158;0;0,57
Adama Traoré Diarra;26;La Liga;2021/2022;Midfielder;FC Barcelona;378;Spain;11;0;2;0;0;2;7;0;0;0,48;0,48;0;0;1,67;54;34;0;189;0
Adnan Januzaj;27;La Liga;2021/2022;Midfielder;Real Sociedad;1625;Belgium;33;3;0;2;0;17;13;5;0;0,17;0;0,17;542;0,72;125;49;325;0;0,28
Adrià Giner Pedrosa;23;La Liga;2021/2022;Defender;RCD Espanyol;2723;Spain;31;1;1;0;0;9;37;8;0;0,07;0,03;0,03;2723;1,22;74;88;340;2723;0,26
Adrián Embarba Blázquez;29;La Liga;2021/2022;Forward;RCD Espanyol;1997;Spain;32;0;2;0;0;9;22;4;0;0,09;0,09;0;0;0,99;91;62;499;999;0,18
Aihen Muñoz Capellán;24;La Liga;2021/2022;Midfielder;Real Sociedad;1343;Spain;20;0;0;0;0;11;16;4;1;0;0;0;0;1,07;84;67;336;0;0,27
Aïssa Mandi;30;La Liga;2021/2022;Defender;Villarreal;1372;Algeria;17;1;0;0;0;6;13;3;0;0,07;0;0,07;1372;0,85;106;81;457;0;0,2
Aitor Fernández Abarisketa;31;La Liga;2021/2022;Goalkeeper;Levante UD;1167;Spain;13;0;0;0;0;2;25;2;1;0;0;0;0;1,93;47;90;389;0;0,23
Aitor Ruibal García;26;La Liga;2021/2022;Forward;Real Betis;855;Spain;19;0;0;0;0;5;11;6;0;0;0;0;0;1,16;78;45;143;0;0,63
Alberto Moreno;29;La Liga;2021/2022;Defender;Villarreal;1222;Spain;24;3;2;0;0;11;9;3;0;0,37;0,15;0,22;407;0,66;136;51;407;611;0,22
Alberto Perea Correoso;31;La Liga;2021/2022;Forward;Cádiz;772;Spain;18;0;1;0;0;5;12;2;0;0,12;0,12;0;0;1,4;64;43;386;772;0,23
Alberto Rodríguez Baro;24;La Liga;2021/2022;Defender;Deportivo Alavés;237;Spain;5;0;0;0;0;1;5;1;0;0;0;0;0;1,9;47;47;237;0;0,38
Alberto Soro Álvarez;23;La Liga;2021/2022;Midfielder;Granada CF;575;Spain;16;0;0;0;0;4;9;0;0;0;0;0;0;1,41;64;36;0;0;0
Aleix Febas Pérez;26;La Liga;2021/2022;Midfielder;RCD Mallorca;115;Spain;4;0;0;0;0;0;5;1;0;0;0;0;0;3,91;23;29;115;0;0,78
Aleix Vidal;32;La Liga;2021/2022;Defender;RCD Espanyol;1904;Spain;31;2;0;0;0;6;31;10;0;0,09;0;0,09;952;1,47;61;61;190;0;0,47
Alejandro Asensio Crespillo;21;La Liga;2021/2022;Forward;Rayo Vallecano;11;Spain;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0
Alejandro Balde Martínez;19;La Liga;2021/2022;Defender;FC Barcelona;187;Spain;5;0;0;0;0;1;3;0;0;0;0;0;0;1,44;62;37;0;0;0
Alejandro Cantero Sánchez;21;La Liga;2021/2022;Forward;Levante UD;595;Spain;25;0;1;0;0;2;12;1;0;0,15;0,15;0;0;1,82;50;24;595;595;0,15
Alejandro Catena Marugán;27;La Liga;2021/2022;Defender;Rayo Vallecano;3240;Spain;36;2;2;0;0;9;42;8;0;0,11;0,06;0,06;1620;1,17;77;90;405;1620;0,22
Alejandro Fernández Iglesias;29;La Liga;2021/2022;Midfielder;Cádiz;2049;Spain;32;3;2;1;1;9;24;2;0;0,22;0,09;0,13;683;1,05;85;64;1025;1025;0,09
Alejandro Gómez;34;La Liga;2021/2022;Midfielder;Sevilla FC;1788;Argentina;29;5;1;0;0;12;11;4;0;0,3;0,05;0,25;358;0,55;163;62;447;1788;0,2
Alejandro Moreno Lopera;28;La Liga;2021/2022;Midfielder;Real Betis;2408;Spain;30;5;3;0;0;9;28;5;1;0,3;0,11;0,19;482;1,05;86;80;401;803;0,22
Alejandro Primo Hernández;17;La Liga;2021/2022;Goalkeeper;Levante UD;90;Spain;1;0;0;0;0;0;1;0;0;0;0;0;0;1;90;90;0;0;0
